Spectra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lambdas,361.856,383.505,405.155,426.804,448.454,470.103,491.753,513.402,535.052,556.701,578.351,600,621.649,643.299,664.948,686.598,708.247,729.897,751.546,773.196,794.845,,,,,,,,,,
Values R,0.09559,0.09559,0.08824,0.07353,0,0,0,0,0,0.08824,0.69853,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,
Values G,0,0,0,0,0.03676,0.38971,0.78676,1,1,0.77941,0.31618,0.00735,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Values B,0.99265,1,1,1,0.86765,0.61029,0.30882,0.08088,0,0,0,0.02941,0.05147,0.06618,0.06618,0.06618,0.06618,0.06618,0.06618,0.06618,0.06618,,,,,,,,,,
values C,0.99265,0.99265,0.98529,0.92647,0.98529,1,1,1,1,0.91912,0.30147,0,0,0,0,0,0.00735,0.00735,0.00735,0.00735,0.00735,,,,,,,,,,
values M,1,1,1,1,0.97794,0.61765,0.19853,0,0,0.24265,0.68382,0.98529,1,1,1,0.99265,0.97794,0.97794,0.98529,0.98529,0.98529,,,,,,,,,,
values Y,0.00735,0.00735,0,0,0.30147,0.39706,0.69853,0.92647,1,1,1,0.97059,0.95588,0.95588,0.95588,0.96324,0.97059,0.98529,0.99265,1,1,,,,,,,,,,
values W,0.9875,0.99554,1.05714,1.07589,0.89643,0.99554,1.11607,1.07857,1.00089,0.84286,1.01964,1.04643,1.05179,1.0625,1.06518,1.06518,1.0625,1.06518,1.06786,1.06786,1.06518,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Warming filter 85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lambdas,400,410,420,430,440,450,460,470,480,490,500,510,520,530,540,550,560,570,580,590,600,610,620,630,640,650,660,670,680,690,700
Transmittances,0.06,0.18,0.284,0.334,0.362,0.381,0.404,0.43,0.453,0.472,0.489,0.492,0.482,0.483,0.492,0.51,0.558,0.645,0.75,0.83,0.872,0.889,0.9,0.905,0.907,0.909,0.91,0.91,0.91,0.91,0.91
